key,time
s, 1500409473317 
;, 1500409473840 
s, 1500409474355 
a, 1500409474371 
;, 1500409474854 
s, 1500409475369 
;, 1500409475915 
s, 1500409476430 
;, 1500409476914 
s, 1500409477413 
;, 1500409477896 
s, 1500409478396 
;, 1500409478879 
s, 1500409479394 
;, 1500409479878 
s, 1500409480424 
a, 1500409480439 
;, 1500409480954 
s, 1500409481500 
;, 1500409481984 
s, 1500409482545 
;, 1500409483029 
s, 1500409483559 
;, 1500409484074 
s, 1500409484589 
;, 1500409485119 
s, 1500409485603 
;, 1500409486086 
s, 1500409486617 
;, 1500409487116 
s, 1500409487600 
;, 1500409488114 
s, 1500409488598 
;, 1500409489113 
s, 1500409489612 
;, 1500409490142 
s, 1500409490626 
;, 1500409491156 
s, 1500409491687 
;, 1500409492170 
s, 1500409492623 
;, 1500409493122 
