key,time
s, 1500409369044 
;, 1500409369613 
s, 1500409370091 
;, 1500409370579 
s, 1500409371059 
;, 1500409371555 
s, 1500409372035 
;, 1500409372539 
s, 1500409373011 
;, 1500409373507 
s, 1500409373987 
;, 1500409374435 
s, 1500409374883 
;, 1500409375379 
s, 1500409375834 
;, 1500409376282 
s, 1500409376730 
;, 1500409377210 
s, 1500409377659 
;, 1500409378131 
s, 1500409378611 
;, 1500409379059 
s, 1500409379524 
;, 1500409379979 
s, 1500409380443 
;, 1500409380931 
s, 1500409381371 
;, 1500409381828 
s, 1500409382267 
;, 1500409382740 
s, 1500409383188 
;, 1500409383659 
s, 1500409384131 
;, 1500409384595 
s, 1500409385035 
;, 1500409385483 
s, 1500409385955 
;, 1500409386395 
s, 1500409386843 
;, 1500409387307 
s, 1500409387771 
;, 1500409388227 
s, 1500409388675 
