key,time
s, 1499289410449 
;, 1499289411162 
s, 1499289411942 
;, 1499289412644 
s, 1499289413330 
;, 1499289413954 
s, 1499289414672 
;, 1499289415358 
s, 1499289416045 
;, 1499289416684 
s, 1499289417418 
;, 1499289418120 
s, 1499289418822 
;, 1499289419586 
s, 1499289420319 
;, 1499289421052 
s, 1499289421801 
;, 1499289422503 
s, 1499289423205 
;, 1499289423907 
s, 1499289424578 
;, 1499289425249 
s, 1499289425951 
;, 1499289426575 
s, 1499289427261 
;, 1499289427932 
s, 1499289428618 
;, 1499289429258 
s, 1499289429944 
