key,time
s, 1499289355140 
;, 1499289355851 
s, 1499289356521 
;, 1499289357239 
s, 1499289357879 
;, 1499289358550 
s, 1499289359314 
;, 1499289359922 
s, 1499289360765 
a, 1499289360780 
;, 1499289361654 
s, 1499289362340 
;, 1499289363011 
s, 1499289363713 
;, 1499289364353 
s, 1499289365055 
;, 1499289365710 
s, 1499289366459 
;, 1499289367114 
s, 1499289367847 
;, 1499289368518 
s, 1499289369282 
;, 1499289369906 
s, 1499289370718 
;, 1499289371388 
s, 1499289372122 
;, 1499289372777 
s, 1499289373526 
;, 1499289374181 
s, 1499289374914 
