key,time
s, 1503349446484 
;, 1503349447151 
s, 1503349447884 
;, 1503349448555 
s, 1503349449195 
;, 1503349449881 
s, 1503349450568 
;, 1503349451207 
s, 1503349451847 
;, 1503349452471 
s, 1503349453110 
;, 1503349453703 
s, 1503349454374 
;, 1503349455029 
s, 1503349455731 
;, 1503349456386 
s, 1503349457073 
;, 1503349457681 
s, 1503349458352 
;, 1503349458992 
s, 1503349459631 
;, 1503349460255 
s, 1503349460910 
;, 1503349461534 
s, 1503349462190 
;, 1503349462829 
s, 1503349463500 
;, 1503349464108 
s, 1503349464748 
;, 1503349465356 
s, 1503349466012 
