key,time
s, 1500902085554 
;, 1500902086322 
s, 1500902087008 
;, 1500902087617 
s, 1500902088381 
;, 1500902088974 
s, 1500902089629 
;, 1500902090191 
s, 1500902090737 
;, 1500902091470 
s, 1500902092063 
;, 1500902092702 
s, 1500902093295 
;, 1500902093857 
s, 1500902094418 
;, 1500902095089 
s, 1500902095697 
;, 1500902096321 
s, 1500902096961 
;, 1500902097585 
s, 1500902098178 
;, 1500902098755 
s, 1500902099441 
;, 1500902099987 
s, 1500902100643 
;, 1500902101220 
s, 1500902101813 
;, 1500902102421 
s, 1500902103014 
;, 1500902103607 
s, 1500902104215 
;, 1500902104808 
s, 1500902105432 
