key,time
s, 1498482433782 
;, 1498482434545 
s, 1498482435138 
;, 1498482435793 
s, 1498482436510 
;, 1498482437212 
s, 1498482437821 
;, 1498482438476 
s, 1498482439116 
;, 1498482439818 
s, 1498482440504 
;, 1498482441159 
s, 1498482441799 
;, 1498482442548 
s, 1498482443187 
;, 1498482443843 
s, 1498482444529 
;, 1498482445153 
s, 1498482445871 
;, 1498482446432 
s, 1498482447056 
;, 1498482447696 
s, 1498482448367 
;, 1498482448991 
s, 1498482449599 
;, 1498482450379 
s, 1498482451050 
;, 1498482451658 
s, 1498482452313 
;, 1498482452953 
s, 1498482453671 
