key,time
s, 1498482345132 
;, 1498482345778 
s, 1498482346527 
;, 1498482347151 
s, 1498482347790 
;, 1498482348446 
s, 1498482349101 
;, 1498482349772 
s, 1498482350427 
;, 1498482351675 
s, 1498482352346 
;, 1498482353016 
s, 1498482353703 
;, 1498482354342 
s, 1498482354998 
;, 1498482355684 
s, 1498482356292 
;, 1498482356948 
s, 1498482357634 
;, 1498482358383 
s, 1498482359038 
;, 1498482359740 
s, 1498482360395 
;, 1498482361050 
s, 1498482361721 
;, 1498482362423 
s, 1498482363063 
;, 1498482363780 
s, 1498482364389 
;, 1498482365013 
