key,time
s, 1498596033866 
;, 1498596034227 
s, 1498596034601 
;, 1498596034929 
s, 1498596035272 
;, 1498596035631 
s, 1498596035975 
;, 1498596036302 
s, 1498596036646 
;, 1498596037004 
s, 1498596037363 
;, 1498596037706 
s, 1498596038034 
;, 1498596038377 
s, 1498596038720 
;, 1498596039079 
s, 1498596039407 
;, 1498596039766 
s, 1498596040140 
;, 1498596040514 
s, 1498596040858 
;, 1498596041201 
s, 1498596041544 
;, 1498596041887 
s, 1498596042230 
;, 1498596042574 
s, 1498596042964 
a, 1498596042979 
;, 1498596043322 
s, 1498596043697 
;, 1498596044087 
s, 1498596044461 
;, 1498596044836 
s, 1498596045210 
;, 1498596045569 
s, 1498596045943 
;, 1498596046302 
s, 1498596046692 
;, 1498596047035 
s, 1498596047425 
', 1498596047768 
;, 1498596047784 
s, 1498596048205 
l, 1498596048580 
;, 1498596048595 
s, 1498596049001 
;, 1498596049406 
s, 1498596049781 
;, 1498596050155 
s, 1498596050545 
;, 1498596050920 
s, 1498596051310 
;, 1498596051668 
s, 1498596052043 
;, 1498596052433 
s, 1498596052854 
;, 1498596053228 
s, 1498596053634 
