key,time
s, 1498595926445 
;, 1498595926924 
s, 1498595928132 
;, 1498595928532 
s, 1498595928901 
;, 1498595929260 
s, 1498595929644 
;, 1498595930005 
s, 1498595930388 
;, 1498595930740 
s, 1498595931101 
;, 1498595931452 
s, 1498595931797 
;, 1498595932140 
l, 1498595932156 
s, 1498595932501 
;, 1498595932846 
s, 1498595933230 
;, 1498595933589 
s, 1498595933973 
;, 1498595934341 
s, 1498595934726 
;, 1498595935093 
s, 1498595935493 
;, 1498595935869 
s, 1498595936245 
;, 1498595936589 
', 1498595936612 
s, 1498595936957 
;, 1498595937301 
s, 1498595937669 
;, 1498595938037 
s, 1498595938421 
;, 1498595938773 
s, 1498595939133 
;, 1498595939477 
s, 1498595939829 
;, 1498595940205 
s, 1498595940589 
;, 1498595940956 
s, 1498595941325 
;, 1498595941700 
s, 1498595942085 
;, 1498595942444 
', 1498595942460 
s, 1498595942813 
;, 1498595943157 
s, 1498595943517 
;, 1498595943876 
s, 1498595944228 
;, 1498595944589 
s, 1498595944932 
;, 1498595945285 
s, 1498595945653 
;, 1498595945996 
s, 1498595946356 
