key,time
s, 1502828361397 
;, 1502828361760 
s, 1502828362150 
;, 1502828362509 
s, 1502828362852 
;, 1502828363211 
s, 1502828363538 
', 1502828363959 
s, 1502828364459 
;, 1502828364833 
s, 1502828365161 
;, 1502828365519 
s, 1502828365847 
;, 1502828366221 
s, 1502828366565 
;, 1502828366923 
s, 1502828367282 
;, 1502828367657 
s, 1502828368031 
;, 1502828368374 
s, 1502828368702 
;, 1502828369092 
s, 1502828369419 
;, 1502828369794 
s, 1502828370137 
;, 1502828370511 
s, 1502828370839 
;, 1502828371213 
s, 1502828371572 
;, 1502828371915 
s, 1502828372243 
;, 1502828372586 
s, 1502828372945 
;, 1502828373288 
s, 1502828373631 
;, 1502828373990 
s, 1502828374349 
;, 1502828374677 
s, 1502828375004 
;, 1502828375347 
s, 1502828375691 
;, 1502828376034 
s, 1502828376346 
;, 1502828376689 
s, 1502828377017 
;, 1502828377375 
s, 1502828377703 
;, 1502828378076 
s, 1502828378403 
;, 1502828378815 
s, 1502828379193 
;, 1502828379554 
s, 1502828379897 
l, 1502828380225 
s, 1502828380584 
;, 1502828380989 
s, 1502828381364 
