key,time
s, 1502828297732 
l, 1502828298196 
;, 1502828298212 
s, 1502828298602 
;, 1502828298960 
s, 1502828299335 
w, 1502828299350 
;, 1502828299694 
s, 1502828300037 
;, 1502828300396 
s, 1502828300739 
;, 1502828301066 
s, 1502828301425 
;, 1502828301753 
s, 1502828302096 
;, 1502828302439 
s, 1502828302798 
;, 1502828303141 
s, 1502828303500 
;, 1502828303828 
s, 1502828304186 
;, 1502828304530 
s, 1502828304873 
a, 1502828304904 
;, 1502828305200 
s, 1502828305528 
;, 1502828305871 
s, 1502828306230 
;, 1502828306573 
s, 1502828306932 
;, 1502828307275 
s, 1502828307603 
;, 1502828307946 
', 1502828307977 
s, 1502828308274 
;, 1502828308601 
', 1502828308617 
/, 1502828308648 
s, 1502828308960 
a, 1502828308991 
;, 1502828309319 
s, 1502828309693 
;, 1502828310036 
s, 1502828310426 
;, 1502828310801 
s, 1502828311175 
;, 1502828311518 
s, 1502828311862 
;, 1502828312220 
s, 1502828312564 
;, 1502828312922 
s, 1502828313281 
;, 1502828313609 
s, 1502828313952 
;, 1502828314311 
s, 1502828314654 
l, 1502828314997 
;, 1502828315013 
s, 1502828315356 
;, 1502828315715 
s, 1502828316058 
;, 1502828316401 
', 1502828316417 
s, 1502828316729 
;, 1502828317072 
s, 1502828317431 
a, 1502828317446 
