key,time
S, 1499805419039 
;, 1499805419615 
S, 1499805420176 
;, 1499805420675 
S, 1499805421206 
;, 1499805421752 
S, 1499805422329 
;, 1499805422844 
S, 1499805423421 
;, 1499805423951 
S, 1499805424529 
;, 1499805425059 
S, 1499805425636 
;, 1499805426198 
S, 1499805426759 
;, 1499805427337 
S, 1499805427883 
;, 1499805428475 
S, 1499805429053 
;, 1499805429630 
S, 1499805430238 
;, 1499805430862 
S, 1499805431424 
;, 1499805431985 
S, 1499805432578 
;, 1499805433155 
S, 1499805433779 
;, 1499805434357 
S, 1499805434934 
;, 1499805435495 
S, 1499805436104 
;, 1499805436728 
S, 1499805437336 
;, 1499805437976 
S, 1499805438569 
