key,time
s, 1499805294686 
;, 1499805295406 
s, 1499805295957 
;, 1499805296558 
s, 1499805297102 
;, 1499805297685 
s, 1499805298277 
;, 1499805298878 
s, 1499805299414 
;, 1499805300022 
s, 1499805300575 
;, 1499805301167 
s, 1499805301766 
;, 1499805302342 
s, 1499805302958 
;, 1499805303566 
s, 1499805304142 
;, 1499805304790 
s, 1499805305389 
;, 1499805306014 
s, 1499805306615 
;, 1499805307221 
s, 1499805307829 
;, 1499805308414 
s, 1499805309038 
;, 1499805309765 
s, 1499805310446 
;, 1499805311045 
s, 1499805311605 
;, 1499805312221 
s, 1499805312853 
;, 1499805313461 
s, 1499805314077 
