key,time
s, 1497990735398 
l, 1497990735870 
s, 1497990736821 
;, 1497990737289 
s, 1497990737742 
;, 1497990738163 
s, 1497990738646 
;, 1497990739068 
s, 1497990739520 
', 1497990739957 
s, 1497990740643 
;, 1497990741158 
p, 1497990741189 
s, 1497990741657 
;, 1497990742094 
s, 1497990742546 
;, 1497990742999 
s, 1497990743451 
;, 1497990743888 
s, 1497990744356 
;, 1497990744824 
s, 1497990745292 
;, 1497990745744 
s, 1497990746228 
;, 1497990746680 
s, 1497990747148 
;, 1497990747585 
s, 1497990748053 
d, 1497990748069 
;, 1497990748537 
s, 1497990748989 
;, 1497990749426 
s, 1497990749878 
;, 1497990750378 
s, 1497990750892 
;, 1497990751376 
s, 1497990751875 
;, 1497990752359 
s, 1497990752842 
;, 1497990753326 
s, 1497990753825 
;, 1497990754278 
s, 1497990754746 
;, 1497990755198 
