key,time
s, 1497990563930 
;, 1497990564553 
s, 1497990565057 
;, 1497990565601 
s, 1497990566129 
;, 1497990566673 
s, 1497990567193 
;, 1497990567729 
s, 1497990568241 
;, 1497990568777 
s, 1497990569273 
;, 1497990569769 
s, 1497990570232 
;, 1497990570728 
s, 1497990571208 
;, 1497990571704 
s, 1497990572184 
;, 1497990572697 
s, 1497990573201 
;, 1497990573688 
s, 1497990574201 
;, 1497990574721 
s, 1497990575225 
;, 1497990575705 
s, 1497990576225 
;, 1497990576753 
s, 1497990577249 
;, 1497990577737 
s, 1497990578273 
;, 1497990578793 
s, 1497990579297 
;, 1497990579769 
s, 1497990580321 
;, 1497990580825 
s, 1497990581313 
;, 1497990581849 
s, 1497990582369 
;, 1497990582865 
s, 1497990583353 
;, 1497990583905 
