key,time
s, 1502744928901 
;, 1502744929492 
s, 1502744930100 
;, 1502744930646 
s, 1502744931224 
;, 1502744931770 
s, 1502744932253 
;, 1502744932799 
s, 1502744933345 
;, 1502744933922 
s, 1502744934406 
;, 1502744934968 
s, 1502744935498 
;, 1502744936044 
s, 1502744936543 
;, 1502744937136 
s, 1502744937651 
;, 1502744938181 
s, 1502744938665 
;, 1502744939211 
s, 1502744939710 
;, 1502744940225 
s, 1502744940740 
;, 1502744941301 
s, 1502744941832 
;, 1502744942378 
s, 1502744942892 
;, 1502744943407 
s, 1502744943984 
;, 1502744944546 
s, 1502744945139 
;, 1502744945716 
s, 1502744946184 
l, 1502744946824 
s, 1502744947448 
;, 1502744947947 
s, 1502744948446 
