key,time
s, 1502744812585 
;, 1502744813315 
s, 1502744813978 
;, 1502744814602 
s, 1502744815242 
;, 1502744815866 
s, 1502744816506 
;, 1502744817122 
s, 1502744817683 
;, 1502744818252 
s, 1502744818771 
;, 1502744819326 
s, 1502744819858 
;, 1502744820450 
s, 1502744821002 
;, 1502744821587 
s, 1502744822173 
;, 1502744822770 
s, 1502744823339 
;, 1502744823922 
s, 1502744824482 
;, 1502744825050 
s, 1502744825626 
;, 1502744826210 
s, 1502744826787 
;, 1502744827384 
s, 1502744827963 
;, 1502744828578 
s, 1502744829137 
;, 1502744829730 
s, 1502744830322 
;, 1502744830906 
s, 1502744831523 
;, 1502744832163 
