key,time
s, 1496092358877 
;, 1496092359247 
s, 1496092359622 
;, 1496092359981 
s, 1496092360355 
;, 1496092360714 
s, 1496092361041 
;, 1496092361400 
s, 1496092361775 
;, 1496092362118 
s, 1496092362461 
;, 1496092362804 
s, 1496092363116 
;, 1496092363491 
s, 1496092363818 
;, 1496092364146 
s, 1496092364489 
;, 1496092364817 
s, 1496092365160 
;, 1496092365487 
s, 1496092365831 
;, 1496092366174 
s, 1496092366501 
;, 1496092366845 
s, 1496092367157 
;, 1496092367500 
s, 1496092367859 
;, 1496092368217 
s, 1496092368561 
;, 1496092368904 
s, 1496092369231 
;, 1496092369590 
s, 1496092369918 
;, 1496092370261 
s, 1496092370604 
;, 1496092370979 
s, 1496092371337 
;, 1496092371681 
s, 1496092372024 
;, 1496092372383 
s, 1496092372741 
;, 1496092373100 
s, 1496092373459 
;, 1496092373818 
s, 1496092374192 
;, 1496092374535 
s, 1496092374894 
;, 1496092375253 
s, 1496092375643 
;, 1496092376002 
s, 1496092376392 
;, 1496092376766 
s, 1496092377141 
;, 1496092377453 
s, 1496092377811 
;, 1496092378170 
s, 1496092378545 
