key,time
s, 1496092610192 
;, 1496092610602 
s, 1496092610961 
;, 1496092611304 
s, 1496092611678 
;, 1496092612037 
s, 1496092612380 
;, 1496092612755 
s, 1496092613082 
;, 1496092613441 
s, 1496092613784 
;, 1496092614159 
s, 1496092614502 
;, 1496092614861 
s, 1496092615204 
;, 1496092615547 
s, 1496092615906 
;, 1496092616249 
s, 1496092616592 
;, 1496092616951 
s, 1496092617279 
;, 1496092617653 
s, 1496092618012 
;, 1496092618386 
s, 1496092618729 
;, 1496092619073 
s, 1496092619431 
;, 1496092619759 
s, 1496092620102 
;, 1496092620430 
s, 1496092620804 
;, 1496092621132 
s, 1496092621491 
;, 1496092621834 
s, 1496092622161 
;, 1496092622520 
s, 1496092622895 
a, 1496092622910 
;, 1496092623207 
s, 1496092623581 
;, 1496092623940 
s, 1496092624283 
;, 1496092624626 
s, 1496092624985 
;, 1496092625344 
s, 1496092625718 
;, 1496092626061 
', 1496092626093 
s, 1496092626467 
d, 1496092626483 
;, 1496092627013 
s, 1496092627450 
;, 1496092627855 
', 1496092627871 
a, 1496092628261 
s, 1496092628932 
;, 1496092629353 
s, 1496092629743 
;, 1496092630149 
