key,time
s, 1496092684481 
;, 1496092684888 
s, 1496092685247 
;, 1496092685606 
s, 1496092685980 
;, 1496092686308 
s, 1496092686682 
;, 1496092687025 
s, 1496092687384 
;, 1496092687727 
s, 1496092688086 
;, 1496092688414 
s, 1496092688819 
;, 1496092689162 
s, 1496092689537 
;, 1496092689864 
s, 1496092690223 
;, 1496092690582 
s, 1496092690956 
;, 1496092691300 
s, 1496092691658 
;, 1496092691986 
s, 1496092692345 
;, 1496092692704 
s, 1496092693062 
;, 1496092693406 
s, 1496092693764 
;, 1496092694123 
s, 1496092694498 
;, 1496092694856 
s, 1496092695231 
;, 1496092695590 
s, 1496092695964 
;, 1496092696323 
s, 1496092696728 
;, 1496092697087 
s, 1496092697493 
;, 1496092697852 
s, 1496092698226 
;, 1496092698600 
s, 1496092699178 
;, 1496092699568 
s, 1496092699958 
;, 1496092700316 
s, 1496092700722 
;, 1496092701081 
s, 1496092701471 
;, 1496092701830 
s, 1496092702188 
;, 1496092702547 
s, 1496092702937 
;, 1496092703296 
s, 1496092703686 
;, 1496092704045 
s, 1496092704435 
