key,time
s, 1496092545187 
;, 1496092545703 
s, 1496092546186 
;, 1496092546608 
s, 1496092547013 
;, 1496092547419 
s, 1496092547824 
;, 1496092548190 
s, 1496092548566 
;, 1496092548956 
s, 1496092549361 
;, 1496092549736 
s, 1496092550095 
;, 1496092550500 
s, 1496092550890 
;, 1496092551265 
s, 1496092551655 
;, 1496092552013 
s, 1496092552403 
;, 1496092552778 
s, 1496092553183 
;, 1496092553573 
s, 1496092554010 
;, 1496092554369 
s, 1496092554790 
;, 1496092555180 
s, 1496092555601 
;, 1496092556007 
s, 1496092556413 
;, 1496092556818 
s, 1496092557208 
;, 1496092557583 
s, 1496092558004 
;, 1496092558378 
s, 1496092558784 
;, 1496092559174 
s, 1496092559642 
;, 1496092560047 
s, 1496092560547 
;, 1496092561030 
s, 1496092561451 
;, 1496092561826 
s, 1496092562200 
;, 1496092562559 
s, 1496092562965 
;, 1496092563355 
s, 1496092563760 
;, 1496092564166 
s, 1496092564587 
;, 1496092564993 
