key,time
s, 1496695825601 
;, 1496695826323 
s, 1496695826947 
;, 1496695827462 
s, 1496695828039 
;, 1496695828600 
s, 1496695829131 
;, 1496695829724 
s, 1496695830238 
;, 1496695830769 
s, 1496695831330 
;, 1496695831892 
s, 1496695832532 
;, 1496695833109 
s, 1496695833733 
;, 1496695834326 
s, 1496695834965 
;, 1496695835589 
s, 1496695836229 
;, 1496695836790 
s, 1496695837399 
;, 1496695837992 
s, 1496695838584 
;, 1496695839162 
s, 1496695839770 
;, 1496695840394 
s, 1496695841002 
;, 1496695841548 
s, 1496695842094 
;, 1496695842640 
s, 1496695843202 
;, 1496695843748 
s, 1496695844310 
;, 1496695844887 
s, 1496695845464 
