key,time
s, 1496695930512 
;, 1496695931184 
s, 1496695931784 
;, 1496695932321 
s, 1496695932889 
;, 1496695933457 
s, 1496695934002 
;, 1496695934569 
s, 1496695935105 
;, 1496695935705 
s, 1496695936281 
;, 1496695936857 
s, 1496695937434 
;, 1496695938017 
s, 1496695938577 
;, 1496695939169 
s, 1496695939705 
;, 1496695940297 
s, 1496695940897 
;, 1496695941513 
s, 1496695942112 
;, 1496695942704 
s, 1496695943296 
;, 1496695943905 
s, 1496695944480 
;, 1496695945072 
s, 1496695945616 
;, 1496695946289 
s, 1496695946888 
;, 1496695947528 
s, 1496695948121 
;, 1496695948777 
s, 1496695949432 
;, 1496695950041 
