key,time
s, 1496695638759 
;, 1496695639389 
s, 1496695639857 
;, 1496695640341 
s, 1496695640871 
;, 1496695641355 
s, 1496695641854 
;, 1496695642338 
s, 1496695642837 
;, 1496695643336 
s, 1496695643867 
;, 1496695644413 
s, 1496695644943 
;, 1496695645489 
s, 1496695646001 
;, 1496695646538 
s, 1496695647052 
;, 1496695647583 
s, 1496695648129 
;, 1496695648659 
s, 1496695649190 
;, 1496695649720 
s, 1496695650250 
;, 1496695650797 
s, 1496695651327 
;, 1496695651904 
s, 1496695652435 
;, 1496695652981 
s, 1496695653589 
;, 1496695654182 
s, 1496695654775 
;, 1496695655352 
s, 1496695655976 
;, 1496695656553 
s, 1496695657208 
;, 1496695657832 
s, 1496695658472 
