key,time
s, 1496695750440 
;, 1496695751143 
s, 1496695751688 
;, 1496695752328 
s, 1496695752879 
;, 1496695753535 
s, 1496695754064 
;, 1496695754648 
s, 1496695755160 
;, 1496695755776 
s, 1496695756344 
;, 1496695756960 
s, 1496695757536 
;, 1496695758152 
s, 1496695758728 
;, 1496695759344 
s, 1496695759928 
;, 1496695760552 
s, 1496695761168 
;, 1496695761816 
s, 1496695762393 
;, 1496695762992 
s, 1496695763616 
;, 1496695764263 
s, 1496695764855 
;, 1496695765464 
s, 1496695766025 
;, 1496695766680 
s, 1496695767263 
;, 1496695767919 
s, 1496695768527 
;, 1496695769167 
s, 1496695769815 
